fighter_name,Height,Weight,Reach,Stance,DOB
Bruno Silva,"6' 0""",185 lbs.,"66.0"" (168cm)",,"Jul 13, 1989"
Gilbert Smith,"5' 9""",185 lbs.,"75.5"" (192cm)",Southpaw,"Oct 19, 1981"
Sean Soriano,"5' 9""",145 lbs.,"71.0"" (180cm)",Orthodox,"Oct 06, 1989"
Alex Soto,"5' 8""",135 lbs.,"70.0"" (178cm)",Southpaw,"Feb 15, 1984"
Chris Spang,"6' 2""",170 lbs.,"76.5"" (194cm)",Orthodox,"Nov 26, 1987"
Pete Spratt,"5' 9""",170 lbs.,"71.0"" (180cm)",Orthodox,"Jan 09, 1971"
Andreas Stahl,"5' 11""",170 lbs.,"73.0"" (185cm)",Orthodox,"May 20, 1988"
Cristina Stanciu,"5' 3""",115 lbs.,"63.8"" (162cm)",Orthodox,"Mar 29, 1994"
Dan Stittgen,"6' 1""",170 lbs.,"71.0"" (180cm)",Orthodox,"Nov 17, 1980"
Denis Stojnic,"6' 0""",245 lbs.,,Orthodox,"Feb 02, 1980"
Hans Stringer,"6' 3""",205 lbs.,"73.5"" (187cm)",Orthodox,"Jul 06, 1987"
Mike Stumpf,"5' 10""",170 lbs.,"71.0"" (180cm)",,"Aug 01, 1986"
Martin Svensson,"6' 1""",155 lbs.,"72.5"" (184cm)",,"Apr 25, 1985"
Floyd Sword,"6' 0""",185 lbs.,,Orthodox,"Aug 24, 1976"
Bentley Syler,"5' 4""",125 lbs.,"68.0"" (173cm)",Orthodox,"Dec 22, 1982"
Jason Tan,"5' 10""",170 lbs.,,Orthodox,"Dec 17, 1981"
John Teixeira,"5' 7""",145 lbs.,"69.0"" (175cm)",Orthodox,"Nov 18, 1986"
Motonobu Tezuka,"5' 7""",135 lbs.,"66.5"" (169cm)",Southpaw,"Aug 29, 1987"
Din Thomas,"5' 9""",155 lbs.,"75.0"" (191cm)",Orthodox,"Sep 28, 1976"
Ryan Thomas,"6' 0""",170 lbs.,,Orthodox,"Nov 05, 1984"
Oli Thompson,"6' 1""",242 lbs.,"75.0"" (191cm)",Orthodox,"Jan 02, 1980"
Chris Tickle,"5' 9""",155 lbs.,"70.0"" (178cm)",,"Feb 01, 1982"
Nolan Ticman,"5' 6""",125 lbs.,"69.0"" (175cm)",Orthodox,"May 17, 1988"
James Toney,"5' 9""",220 lbs.,"72.0"" (183cm)",Orthodox,"Aug 24, 1968"
Anthony Torres,"5' 8""",170 lbs.,,Orthodox,"Jul 31, 1978"
Ronys Torres,"5' 7""",155 lbs.,,Orthodox,"Aug 13, 1975"
Alex Torres,"5' 10""",145 lbs.,"70.0"" (178cm)",Orthodox,"May 29, 1988"
Tor Troeng,"6' 2""",185 lbs.,"77.5"" (197cm)",Orthodox,"Jan 25, 1983"
Jumabieke Tuerxun,"5' 7""",135 lbs.,"67.0"" (170cm)",Orthodox,"Apr 17, 1986"
Alberto Uda,"6' 3""",185 lbs.,"77.5"" (197cm)",Orthodox,"Aug 08, 1984"
Yasuhiro Urushitani,"5' 5""",125 lbs.,"67.0"" (170cm)",Southpaw,"Sep 08, 1976"
Victor Valimaki,"6' 0""",205 lbs.,,Orthodox,"Dec 17, 1981"
Matt Van Buren,"6' 5""",205 lbs.,"76.5"" (194cm)",,"Jun 12, 1986"
Guilherme Vasconcelos,"6' 0""",185 lbs.,"74.0"" (188cm)",Orthodox,"Mar 23, 1986"
Matt Veach,"5' 11""",155 lbs.,,Orthodox,"May 31, 1981"
Joe Vedepo,"6' 0""",185 lbs.,"74.0"" (188cm)",Orthodox,
Joe Veres,"5' 7""",155 lbs.,,Orthodox,"Nov 09, 1977"
Milton Vieira,"6' 0""",145 lbs.,"72.0"" (183cm)",Orthodox,"Oct 04, 1978"
Danillo Villefort,"6' 1""",185 lbs.,"75.5"" (192cm)",Orthodox,"May 08, 1983"
Marcos Vinicius,"5' 9""",125 lbs.,"68.5"" (174cm)",Orthodox,"Dec 05, 1979"
Neil Wain,"5' 10""",242 lbs.,,Orthodox,"Jun 18, 1978"
Donny Walker,"5' 9""",135 lbs.,"71.0"" (180cm)",,"Jan 04, 1980"
Ben Wall,"5' 10""",155 lbs.,"73.0"" (185cm)",Orthodox,"Mar 25, 1989"
Jim Wallhead,"5' 10""",170 lbs.,"74.0"" (188cm)",Orthodox,"Mar 14, 1984"
Patrick Walsh,"5' 11""",185 lbs.,"73.0"" (185cm)",,"Nov 28, 1988"
Andy Wang,"5' 6""",155 lbs.,,Orthodox,"May 28, 1977"
Sai Wang,"6' 0""",170 lbs.,"71.0"" (180cm)",Southpaw,"Jan 14, 1986"
Anying Wang,"6' 0""",170 lbs.,"74.0"" (188cm)",Orthodox,"Apr 04, 1991"
Curt Warburton,"6' 0""",155 lbs.,"73.0"" (185cm)",Orthodox,"Apr 12, 1981"
Charlie Ward,"5' 11""",170 lbs.,"73.5"" (187cm)",Orthodox,"Dec 17, 1980"
Kyle Watson,"6' 0""",155 lbs.,"70.0"" (178cm)",Southpaw,"Aug 09, 1979"
Jonavin Webb,"5' 10""",170 lbs.,"71.0"" (180cm)",Orthodox,"Apr 28, 1989"
Mike Wessel,"6' 0""",260 lbs.,"71.0"" (180cm)",Orthodox,"Dec 02, 1977"
Aaron Wilkinson,"5' 10""",155 lbs.,"72.0"" (183cm)",,"Jan 31, 1987"
Eric Wisely,"5' 8""",145 lbs.,"70.0"" (178cm)",Southpaw,"Jul 25, 1984"
Keith Wisniewski,"6' 0""",170 lbs.,"73.0"" (185cm)",Orthodox,"Oct 25, 1981"
Brandon Wolff,"5' 9""",170 lbs.,,Orthodox,"Oct 18, 1975"
Justin Wren,"6' 2""",265 lbs.,"73.0"" (185cm)",Orthodox,"Apr 27, 1987"
Marcin Wrzosek,"5' 9""",155 lbs.,"70.0"" (178cm)",,"Oct 14, 1987"
Jamie Yager,"6' 1""",185 lbs.,"73.0"" (185cm)",Orthodox,"Nov 29, 1983"
Eddie Yagin,"5' 7""",145 lbs.,"69.0"" (175cm)",Orthodox,"Mar 23, 1979"
Jianping Yang,"5' 7""",145 lbs.,"65.0"" (165cm)",Orthodox,"Nov 27, 1988"
Cale Yarbrough,"6' 1""",185 lbs.,,Orthodox,"Dec 27, 1986"
Besam Yousef,"5' 11""",170 lbs.,"71.5"" (182cm)",Orthodox,"Mar 25, 1985"
Rob Yundt,"6' 1""",185 lbs.,,Orthodox,"May 05, 1980"
Anton Zafir,"5' 11""",170 lbs.,"72.0"" (183cm)",Orthodox,"May 10, 1987"
Roger Zapata,"5' 11""",170 lbs.,"74.0"" (188cm)",Southpaw,"May 09, 1986"
Joao Zeferino,"5' 11""",170 lbs.,"74.0"" (188cm)",Orthodox,"Jan 15, 1986"
