fighter_name,Affiliation,Born,Fighting out of,Reach,Date of Birth
Bruno Rodrigues,WGT / Boxe Thai / Gracie Barra,"Sobral, Ceara, Brazil","Campo Grande, Mato Grosso do Sul, Brazil",N/A,1900-20-30
Manuel Rodriguez,TP Fight Team,El Salvador,"Sydney, New South Wales, Australia","74.0"" (188cm)",1900-20-30
Nick Roehrick,N/A,"Orlando, Florida, United States","Orlando, Florida, United States","75.5"" (192cm)",1900-20-30
Jared Rollins,Team Oyama,"California, USA","Stanton, California, USA",N/A,1900-20-30
Jake Rosholt,Arlington MMA,"Sandpoint, Idaho, United States","Arlington, Texas","74.0"" (188cm)",1900-20-30
Rodolfo Rubio Perez,Entram Gym,Mexico,"Mexico City, Mexico","66.0"" (168cm)",1900-20-30
Gabe Ruediger,Team Quest,United States,"Van Nuys, California","70.0"" (178cm)",1900-20-30
Ivan Salaverry,AMC Pankration,Canada,"Seattle, Washington",N/A,1900-20-30
Roman Salazar,Fight Ready MMA,"Mammoth, Arizona","Queen Creek, Arizona","67.5"" (171cm)",1900-20-30
Sean Salmon,N/A,United States,"Columbus, Ohio",N/A,1900-20-30
Jesse Sanders,N/A,United States,"Oskaloosa, Iowa",N/A,1900-20-30
Joseph Sandoval,Bighead MMA,"Amarillo, Texas, United States","Lubbock, Texas","66.0"" (168cm)",1900-20-30
Roldan Sangcha'an,Lakay Central Gym,Philippines,Philippines,"65.0"" (165cm)",1900-20-30
Bruno Santos,MMA Masters,"Lauro de Freitas, Bahia, Brazil","Salvador, Bahia, Brazil","72.0"" (183cm)",1900-20-30
Diego Saraiva,N/A,United States,"Atlanta, Georgia, United States",N/A,1900-20-30
Takenori Sato,TRIBE TOKYO MMA,"Akita, Japan","Shinagawa, Tokyo, Japan","71.0"" (180cm)",1900-20-30
Chris Saunders,All in MMA,United States,"Long Beach, California","69.0"" (175cm)",1900-20-30
Mark Scanlon,Team Kaobon Liverpool,United Kingdom,"Liverpool, England",N/A,1900-20-30
Samy Schiavo,Bushido Academie,France,"Avignon, France",N/A,1900-20-30
Pat Schilling,Ambition Training Academy,"St. Paul, Minnesota, United States","Eagan, Minnesota","70.0"" (178cm)",1900-20-30
Darrill Schoonover,Red Spider MMA,United States,"El Paso, Texas","82.0"" (208cm)",1900-20-30
Matthew Semelsberger,Clinch Academy,United States,"Frederick, Maryland","75.0"" (191cm)",1900-20-30
Ivan Serati,Sure Grip Vale Tudo,Italy,"Monza, Italy",N/A,1900-20-30
Rosi Sexton,Next Generation MMA Liverpool,"Manchester, England","Manchester, England","64.0"" (163cm)",1900-20-30
Shunichi Shimizu,Uruno Dojo,"Tokyo, Japan","Kuchinoerabu, Japan","66.0"" (168cm)",1900-20-30
Josh Shockley,Duneland Vale Tudo,United States,"Hobart, Indiana","74.5"" (189cm)",1900-20-30
Assuerio Silva,N/A,Brazil,"Curitiba, Parana, Brazil",N/A,1900-20-30
Jay Silva,MPF Training Systems,"Luanda, Angola","Huntington Beach, California","75.0"" (191cm)",1900-20-30
Wagner Silva,Tata Fight Team,"Vicosa, Minas Gerais, Brazil","Vicosa, Minas Gerais, Brazil","71.5"" (182cm)",1900-20-30
Bruno Silva,Fight Ready MMA,"Piracicaba, Sao Paulo, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil","66.0"" (168cm)",1900-20-30
Gilbert Smith,Team Victory,United States,"Colorado Springs, Colorado","75.5"" (192cm)",1900-20-30
Sean Soriano,N/A,"Providence, Rhode Island, United States","Fort Lauderdale, Florida","71.0"" (180cm)",1900-20-30
Alex Soto,Team Hurricane Awesome,"Tijuana, Mexico","San Diego, California","70.0"" (178cm)",1900-20-30
Chris Spang,One Kick's Gym,"Växjö, Sweden","Las Vegas, Nevada","76.5"" (194cm)",1900-20-30
Pete Spratt,Metro Fight Club,"Denison, Texas, United States","San Antonio, Texas","71.0"" (180cm)",1900-20-30
Andreas Stahl,Renyi,Sweden,"Umea, Vasterbotten, Sweden","73.0"" (185cm)",1900-20-30
Cristina Stanciu,Absoluto Fighting Center,"Bucharest, Romania","Bucharest, Romania","63.8"" (162cm)",1900-20-30
Dan Stittgen,Midwest Training Center,"Woodstock, Illinois, United States","Schaumburg, Illinois","71.0"" (180cm)",1900-20-30
Denis Stojnic,Golden Glory ,Bosnia Herzegovina,"Sarajevo, Bosnia and Herzegovina",N/A,1900-20-30
Hans Stringer,Blackzilians,Netherlands,"Boca Raton, Florida","73.5"" (187cm)",1900-20-30
Mike Stumpf,Team Curran MMA,"Crystal Lake, Illinois, United States","Crystal Lake, Illinois","71.0"" (180cm)",1900-20-30
Martin Svensson,Frontier MMA Academy,"Horby, Sweden","Malmo, Sweden","72.5"" (184cm)",1900-20-30
Floyd Sword,N/A,United States,"Albuquerque, New Mexico",N/A,1900-20-30
Bentley Syler,American Top Team,"Santa Cruz de la Sierra, Bolivia","Coconut Creek, Florida","68.0"" (173cm)",1900-20-30
Jason Tan,N/A,United Kingdom,"Liverpool, England",N/A,1900-20-30
John Teixeira,Nova União,"Macapa, Amapa, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil","69.0"" (175cm)",1900-20-30
Motonobu Tezuka,Cobra Kai MMA Dojo,"Azumino, Nagano, Japan","Osaka, Japan","66.5"" (169cm)",1900-20-30
Din Thomas,American Top Team,United States,"Orlando, Florida","75.0"" (191cm)",1900-20-30
Ryan Thomas,BARROW MMA,England,"Barrow In Furness, England.",N/A,1900-20-30
Oli Thompson,ZT Fight School,"Hastings, East Sussex, England","Hastings, East Sussex, England","75.0"" (191cm)",1900-20-30
Chris Tickle,Fiore MMA,United States,"Bloomington, Illinois","70.0"" (178cm)",1900-20-30
Nolan Ticman,Kings MMA,United States,"Palm Springs, California","69.0"" (175cm)",1900-20-30
James Toney,N/A,"Grand Rapids, Michigan, United States","Sherman Oaks, California","72.0"" (183cm)",1900-20-30
Anthony Torres,MMAD,United States,USA,N/A,1900-20-30
Ronys Torres,Nova União,Brazil,"Manacapuru, Amazonas, Brazil",N/A,1900-20-30
Alex Torres,Octagon MMA,"Bogota, Colombia","Bogota, Colombia","70.0"" (178cm)",1900-20-30
Tor Troeng,Renyi Fight Camp,"Umea, Sweden","Umea, Sweden","77.5"" (197cm)",1900-20-30
Jumabieke Tuerxun,N/A,China,"Shaanxi, China","67.0"" (170cm)",1900-20-30
Alberto Uda,Nova União,Brazil,"Blumenau, Santa Catarina, Brazil","77.5"" (197cm)",1900-20-30
Yasuhiro Urushitani,TRIBE TOKYO MMA,"Shikokuchuo, Ehime, Japan","Setagaya, Tokyo, Japan","67.0"" (170cm)",1900-20-30
Victor Valimaki,UFC Gym Sherwood Park,"Kingston, Ontario, Canada","Edmonton, Alberta",N/A,1900-20-30
Matt Van Buren,Blackzilians,United States,"Coconut Creek, Florida, United States","76.5"" (194cm)",1900-20-30
Guilherme Vasconcelos,BH Rhinos,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil","74.0"" (188cm)",1900-20-30
Matt Veach,Finney's HIT Squad,"Springfield, Illinois, United States","Granite City, Illinois",N/A,1900-20-30
Joe Vedepo,Team I-Core,United States,"Iowa City, Iowa","74.0"" (188cm)",1900-20-30
Joe Veres,MMA Lab,United States,"Glendale, California, USA",N/A,1900-20-30
Milton Vieira,Brazilian Top Team,"Rio De Janeiro, Brazil","Amazonas, Brazil","72.0"" (183cm)",1900-20-30
Danillo Villefort,Blackzilians,"Brasilia, Brazil","Coconut Creek, Florida","75.5"" (192cm)",1900-20-30
Marcos Vinicius,Striker's House,"Sao Jose dos Pinhais, Parana, Brazil","Curitiba, Parana, Brazil","68.5"" (174cm)",1900-20-30
Neil Wain,Ludus Magnus,United Kingdom,"Doncaster, England",N/A,1900-20-30
Donny Walker,GriffonRawl MMA Academy,"Ashtabula, Ohio, United States","Mentor, Ohio","71.0"" (180cm)",1900-20-30
Ben Wall,Ignite Martial Arts Academy / Dunstandeathsquad,"Brisbane, Queensland, Australia","Brisbane, Queensland, Australia","73.0"" (185cm)",1900-20-30
Jim Wallhead,Team Rough House,"Leicestershire, England","Leicestershire, England","74.0"" (188cm)",1900-20-30
Patrick Walsh,Victory Combat Academy,United States,"Stoughton, Massachusetts","73.0"" (185cm)",1900-20-30
Andy Wang,Grappling Unlimited,Taiwain,Beijing,N/A,1900-20-30
Sai Wang,Enbo Gedou,China,"Beijing, China","71.0"" (180cm)",1900-20-30
Anying Wang,Xi'an Sports University,China,China,"74.0"" (188cm)",1900-20-30
Curt Warburton,NEVT,"Bishop Auckland, England","Liverpool, England","73.0"" (185cm)",1900-20-30
Charlie Ward,Straight Blast Gym Ireland,Ireland,Ireland,"73.5"" (187cm)",1900-20-30
Kyle Watson,Finney's HIT Squad,"Litchfield, Illinois, United States","Granite City, Illinois","70.0"" (178cm)",1900-20-30
Jonavin Webb,Renzo Gracie Philly,United States,"Washington Township, New Jersey","71.0"" (180cm)",1900-20-30
Mike Wessel,Westside Fight Team,United States,"Jonesboro, Arkansas","71.0"" (180cm)",1900-20-30
Aaron Wilkinson,SBG Manchester,United Kingdom,"Manchester, England","72.0"" (183cm)",1900-20-30
Eric Wisely,Roufusport MMA Academy,"Clinton, Iowa","Clinton, Iowa","70.0"" (178cm)",1900-20-30
Keith Wisniewski,Duneland Vale Tudo,"Muenster, Indiana, United States","Hobart, Indiana","73.0"" (185cm)",1900-20-30
Brandon Wolff,MMAD,United States,"Kailua, Hawaii",N/A,1900-20-30
Justin Wren,Travis Lutter BJJ,United States,"Ames, Iowa, United States","73.0"" (185cm)",1900-20-30
Marcin Wrzosek,Shark Top Team Łódź,Poland,"Łódź, Poland","70.0"" (178cm)",1900-20-30
Jamie Yager,Kings MMA,"Pasadena, California, United States","Huntington Beach, California","73.0"" (185cm)",1900-20-30
Eddie Yagin,Alliance MMA,"Hilo, Hawaii, United States","Honolulu, Hawaii","69.0"" (175cm)",1900-20-30
Jianping Yang,Fight Emperor,China,China,"65.0"" (165cm)",1900-20-30
Cale Yarbrough,N/A,United States,United States,N/A,1900-20-30
Besam Yousef,Gladius MMA,"Al-Hassake, Syria","Gothenburg, Sweden","71.5"" (182cm)",1900-20-30
Rob Yundt,N/A,United States,"Wasilla, Alaska, USA",N/A,1900-20-30
Anton Zafir,Whitsunday Martial Arts,Australia,"Queensland, Australia","72.0"" (183cm)",1900-20-30
Roger Zapata,Renzo Gracie Latham,"Latham, New York","Albany, New York","74.0"" (188cm)",1900-20-30
Joao Zeferino,Renzo Gracie Academy,"Florianopolis, Santa Catarina, Brazil","Middletown, New York","74.0"" (188cm)",1900-20-30
