fighter_name,Height,Weight,Reach,Stance,DOB,Affiliation,Born,Fighting out of
Lyman Good,"6' 0""",170 lbs.,"74""",Orthodox,"May 26, 1985",Tiger Schulmann's Mixed Martial Arts,"New York City, New York, United States","New York City, New York"
Eddie Gordon,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983",Serra Jiu-Jitsu,Jamaica,"Freeport, New York"
Jared Gordon,"5' 9""",145 lbs.,"68""",Orthodox,"Sep 06, 1988",Renzo Gracie Academy,United States,"Queens, New York"
Malcolm Gordon,"5' 7""",125 lbs.,"71""",Switch,"May 19, 1990",Adrenaline MMA Training & Fitness,"Calgary, Alberta, Canada","London, Ontario"
Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",Australian Top Team,Australia,"Sydney, New South Wales"
Jonathan Goulet,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 13, 1979",Team Legion,"Victoriaville, Quebec, Canada","Victoriaville, Quebec"
Thibault Gouti,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",Sausset FightTeam,France,"Albuquerque, New Mexico"
Wilson Gouveia,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",American Top Team,Brazil,"Fort Lauderdale, Florida"
Damian Grabowski,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980",Lutadores Opole,Poland,"Opole, Poland"
Roger Gracie,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",Evolve MMA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
Kron Gracie,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",Gracie Humaita,"Rio de Janeiro, Brazil","Los Angeles, California"
Miranda Granger,"5' 7""",125 lbs.,"68""",Orthodox,"Apr 13, 1992",Charlie's Combat Club,United States,Washington State
TJ Grant,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",Fit Plus MMA,"Calgary, Alberta, Canada","Cole Harbour, Nova Scotia"
Davey Grant,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",SBG Manchester,"Bishop Auckland, England","Bishop Auckland, England"
Dwight Grant,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984",American Kickboxing Academy,United States,"New York City, New York"
Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",Lobo Gym MMA,Mexico,"Guadalajara, Mexico"
Tony Gravely,"5' 5""",135 lbs.,"69""",Orthodox,"Sep 28, 1991",American Top Team,"Martinsville, Virginia, United States","Coconut Creek, Florida"
Michael Graves,"5' 10""",170 lbs.,"71""",Orthodox,"Jan 08, 1991",American Top Team,"Maumee, Ohio","Coconut Creek, Florida"
Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",Pinnacle MMA,United States,"Inland Empire, California"
Desmond Green,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989",American Combat Club,United States,"Rochester, New York"
Gabe Green,"5' 10""",170 lbs.,"73""",Switch,"May 02, 1993",Tracy Hess' Subfighter MMA,"San Pedro, California","Downey, California"
Maurice Greene,"6' 7""",258 lbs.,"80""",Orthodox,"Jul 05, 1986",The Performance Compound,"Broadalbin, New York","Evanston, Illinois"
Matt Grice,"5' 8""",145 lbs.,"70""",Orthodox,"Jul 29, 1981",Titan Martial Arts,"Midwest City, Oklahoma, United States","Harrah, Oklahoma"
Forrest Griffin,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",Xtreme Couture,"Columbus, Ohio, United States","Las Vegas, Nevada"
Tyson Griffin,"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",American Kickboxing Academy,"Sacramento, California, United States","San Jose, California"
Max Griffin,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",MMA Gold Fight Team,"Sacramento, California","Sacramento, California"
Jordan Griffin,"5' 10""",145 lbs.,"73""",Southpaw,"Feb 28, 1990",Roufusport MMA Academy,United States,Wisconsin
Chad Griggs,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978",Apex MMA,"Tucson, Arizona, United States","Tucson, Arizona"
Maxim Grishin,"6' 3""",220 lbs.,"78""",Orthodox,"May 02, 1984",Akhmat Fight Club,"Tambov, Russia","Stary Oskol, Russia"
Josh Grispi,"5' 11""",145 lbs.,"74""",Orthodox,"Oct 14, 1988",South Shore Sportfighting,"Plympton, Massachusetts","Rockland, Massachusetts"
Kendall Grove,"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",Straight Rootless Jiu Jitsu,"Wailuku, Maui, Hawaii, United States","Maui, Hawaii"
Chris Gruetzemacher,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",American Top Team,United States,"Coconut Creek, Florida"
Vik Grujic,"5' 11""",170 lbs.,"73""",Orthodox,"Feb 06, 1977",Alliance MMA,Australia,"Melbourne, Victoria, Australia"
Mike Grundy,"5' 7""",145 lbs.,"72""",Orthodox,"Jan 03, 1987",Team Kaobon Liverpool,England,"Manchester, England"
Wang Guan,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",Xi'an Sports University,China,"Beijing, China"
Shannon Gugerty,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",City Boxing,United States,"San Diego, California"
Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",,"Round Lake, Illinois, United States","Johnsburg, Illinois"
Melvin Guillard,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 30, 1983",,"New Orleans, Louisiana, United States","Denver, Colorado"
Marcelo Guimaraes,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 25, 1983",Caveira Team,"Itapemirim, Espírito Santo, Brazil","Vila Velha, Espirito Santo, Brazil"
John Gunderson,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",Xtreme Couture,"Medford, Oregon, United States","Las Vegas, Nevada"
John Gunther,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985",Strong Style Fight Team,United States,"Cleveland, Ohio"
Jorge Gurgel,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 25, 1977",JG MMA Academy,"Fortaleza, Brazil","West Chester, Ohio"
Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",Allstars Training Center,"Arboga, Sweden","Stockholm, Sweden"
Chris Gutierrez,"5' 9""",145 lbs.,"67""",Orthodox,"Apr 22, 1991",,"Greenville, Texas","Englewood, Colorado"
Mike Guymon,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",Jokers MMA,"Newport Beach, California, United States","Lake Forest, California"
Damir Hadzovic,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986",Arte Suave,"Goražde, Bosnia","Esbjerg, Denmark"
Tim Hague,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983",Complete Fitness and Martial Arts,Canada,Canada
Uriah Hall,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984",,"Spanish Town, Jamaica","New York City, New York"
Ryan Hall,"5' 10""",145 lbs.,"70""",Southpaw,"Feb 22, 1985",Tristar Gym,"Arlington, Virginia, United States","Falls Church, Virginia, United States"
Dennis Hallman,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975",AMC Pankration,"Yelm, Washington, United States","Yelm, Washington"
Piotr Hallmann,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1987",Mighty Bulls Gdynia,Poland,"Gdynia, Poland"
Seo Hee Ham,"5' 2""",115 lbs.,"62""",Southpaw,"Mar 08, 1987",Busan Team MAD,"Gangwon, South Korea","Busan, South Korea"
Matt Hamill,"6' 1""",205 lbs.,"76""",Orthodox,"Oct 05, 1976",Team Punishment,"Loveland, Ohio, United States","Utica, New York"
Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980",,"Kent, Washington, United States","Newcastle, Washington State"
Jared Hamman,"6' 3""",185 lbs.,"75""",Orthodox,"Mar 07, 1982",VMAT,"Atascadero, California, United States","Los Angeles, California"
Kay Hansen,"5' 2""",115 lbs.,"63""",Orthodox,"Aug 14, 1999",10th Planet Jiu Jitsu Buena Park,United States,"Fullerton, California"
Nasrat Haqparast,"5' 10""",155 lbs.,"72""",Southpaw,"Aug 22, 1995",Tristar Gym,Germany,"Hamburg, Germany"
Antoni Hardonk,"6' 4""",245 lbs.,"78""",Orthodox,"Feb 05, 1976",Vos Gym,Netherlands,"Weesp, Holland"
Dan Hardy,"6' 0""",170 lbs.,"74""",Orthodox,"May 17, 1982",Team Rough House,"Nottingham, England","Nottingham, England"
Greg Hardy,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 28, 1988",American Top Team,United States,"Florida, United States"
Gerald Harris,"5' 11""",185 lbs.,"77""",Southpaw,"Nov 19, 1979",Ghost Dog Boxing,"Tulsa, Oklahoma, United States","Tulsa, Oklahoma"
Phil Harris,"5' 4""",125 lbs.,"65""",Orthodox,"Sep 04, 1983",South Coast Submissions,"Portsmouth, England","Portsmouth, England"
Walt Harris,"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",,"Homewood, Alabama","Homewood, Alabama"
Dale Hartt,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 04, 1979",Sityodtong Boston,United States,"Bangor, Maine"
Clay Harvison,"6' 1""",170 lbs.,"74""",Orthodox,"Sep 25, 1980",Iron Clutch Fitness,"Atlanta, Georgia, United States","Atlanta, Georgia"
John Hathaway,"6' 1""",170 lbs.,"75""",Orthodox,"Jul 23, 1987",London Shootfighters,"Brighton, Sussex, England","Brighton, Sussex, England"
Dustin Hazelett,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986",JG MMA Academy,"Louisa, Kentucky, United States","Cincinnati, Ohio"
James Head,"6' 1""",170 lbs.,"73""",Orthodox,"Feb 09, 1984",Lovato's BJJ,"Highland, Illinois, United States","Oklahoma City, Oklahoma"
Pat Healy,"6' 0""",155 lbs.,"72""",Orthodox,"Jul 20, 1983",Sports Lab,"St. Louis, Missouri, United States","Eagle Creek, Oregon"
David Heath,"5' 11""",205 lbs.,"72""",Orthodox,"Feb 10, 1976",Absolute Combat Alliance,"Nowata, Oklahoma, United States","Tulsa, Oklahoma"
Jake Hecht,"6' 0""",170 lbs.,"73""",Orthodox,"Feb 09, 1984",Fiore MMA,"St. Louis, Missouri, United States","Springfield, Illinois"
Nick Hein,"5' 6""",155 lbs.,"66""",Southpaw,"Apr 24, 1984",Combat Club Cologne,Germany,"Cologne, Germany"
Ian Heinisch,"5' 11""",185 lbs.,"72""",Orthodox,"Aug 05, 1988",factoryX Muay Thai,United States,"Parker, Colorado"
Marcin Held,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 18, 1992",Bastion Tychy,Poland,"Tychy, Poland"
Dan Henderson,"5' 11""",185 lbs.,"74""",Orthodox,"Aug 24, 1970",Team Quest,"Downey, California, United States","Temecula, California"
Benson Henderson,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983",MMA Lab,"Colorado Springs, Colorado, United States","Glendale, Arizona"
Johny Hendricks,"5' 9""",185 lbs.,"69""",Southpaw,"Sep 12, 1983",Team Takedown,"Ada, Oklahoma, United States","Dallas, Texas"
Luis Henrique,"6' 2""",243 lbs.,"74""",Orthodox,"Aug 21, 1993",Tata Fight Team,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Danny Henry,"6' 0""",145 lbs.,"73""",Orthodox,"Jul 17, 1988",Higher Level Martial Arts,"Edinburgh, Scotland","Edinburgh, Scotland"
Jai Herbert,"6' 1""",155 lbs.,"77""",Orthodox,"May 13, 1988",Team Renegade BJJ,England,England
Ed Herman,"6' 1""",205 lbs.,"77""",Orthodox,"Oct 02, 1980",Team Quest,"Vancouver, Washington","Fort Collins, Colorado"
Dave Herman,"6' 4""",242 lbs.,"77""",Orthodox,"Oct 03, 1984",Team Quest,"Fort Wayne, Indiana, United States","Temecula, California"
Jack Hermansson,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",Frontline Academy,"Uddevalla, Sweden","Oslo, Norway"
Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",factoryX Muay Thai,United States,"San Antonio, Texas"
Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",MMA Gold Fight Team,United States,"Dunnigan, California"
Nohelin Hernandez,"5' 10""",135 lbs.,"71""",Orthodox,"Mar 01, 1994",American Kickboxing Academy,"Gilroy, California","Gilroy, California"
Geane Herrera,"5' 5""",125 lbs.,"66""",Orthodox,"May 27, 1990",Banks MMA,"Duarte, California, United States","Tampa, Florida"
Alvaro Herrera Mendoza,"6' 0""",155 lbs.,"74""",Orthodox,"May 14, 1990",Lobo Gym MMA,Mexico,"Guadalajara, Jalisco, Mexico"
Felice Herrig,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",Team Curran MMA,United States,"Schaumburg, Illinois"
Heath Herring,"6' 4""",250 lbs.,"78""",Orthodox,"Mar 02, 1978",Las Vegas Combat Club,"Waco, Texas, United States","Las Vegas, Nevada"
Clint Hester,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986",X3 Sports,United States,"Marietta, Georgia"
Jimy Hettes,"5' 9""",145 lbs.,"71""",Southpaw,"Jun 09, 1987",Northeast Jiu Jitsu,"Kingston, Pennsylvania, United States","Swoyersville, Pennsylvania"
Jay Hieron,"6' 0""",170 lbs.,"75""",Orthodox,"Jul 29, 1976",Xtreme Couture,"Freeport, New York, United States","Las Vegas, Nevada"
Jason High,"5' 8""",155 lbs.,"73""",Southpaw,"Oct 12, 1981",American Top Team,United States,"Huntington Beach, California"
Corey Hill,"6' 4""",155 lbs.,"80""",Orthodox,"Oct 03, 1978",Team TCH MMA,USA,USA
Angela Hill,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",Alliance MMA,United States,"New York City, New York"
Jamahal Hill,"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",,United States,Michigan
Hatsu Hioki,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 18, 1983",ALIVE,"Nagoya, Japan","Nagoya, Japan"
Kuniyoshi Hironaka,"5' 10""",168 lbs.,"70""",Orthodox,"Jun 17, 1976",Master Japan,"Yamaguchi-shi, Yamaguchi, Japan","Tokyo, Japan"
Mizuto Hirota,"5' 7""",155 lbs.,"67""",Orthodox,"May 05, 1981",CAVE,"Isahaya, Nagasaki, Japan","Nakano, Tokyo, Japan"
Matt Hobar,"5' 10""",135 lbs.,"70""",Southpaw,"Jan 07, 1987",Fortis MMA,United States,"Dallas, Texas"
Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986",Indy Boxing & Grappling,"Adrian, Michigan","Indianapolis, Indiana"
Kevin Holland,"6' 3""",170 lbs.,"81""",Orthodox,"Nov 05, 1992",Travis Lutter BJJ,United States,"Fort Worth, Texas"
Max Holloway,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",Gracie Technics,"Oahu, Hawaii, United States","Waianae, Hawaii"
Holly Holm,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 17, 1981",Jackson Wink MMA,United States,"Albuquerque, New Mexico"
Kurt Holobaugh,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 08, 1986",Gracie Barra Louisiana,United States,"Denham Springs, Louisiana"
Paddy Holohan,"5' 10""",125 lbs.,"69""",Orthodox,"May 03, 1988",Straight Blast Gym Ireland,Ireland,"Dublin, Ireland"
Scott Holtzman,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 30, 1983",Gym-O,United States,"Knoxville, Tennessee"
Sabah Homasi,"6' 0""",170 lbs.,"72""",Orthodox,"Oct 19, 1988",American Top Team,"New Brunswick, New Jersey","Coconut Creek, Florida"
Mark Hominick,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 22, 1982",Adrenaline MMA Training & Fitness,"Thamesford, Ontario, Canada","London, Ontario"
Barb Honchak,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 30, 1979",Miletich Fighting Systems,United States,"Bettendorf, Iowa"
Dan Hooker,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",City Kickboxing,"Auckland, New Zealand","Auckland, New Zealand"
Chase Hooper,"6' 1""",145 lbs.,"74""",Southpaw,"Sep 13, 1999",Combat Sport & Fitness,"Enumclaw, Washington, United States"," Enumclaw, Washington, United States"
Darrell Horcher,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",Unrivaled Athletics,United States,"Shermans Dale, Pennsylvania"
Yoshinori Horie,"5' 8""",145 lbs.,"70""",Orthodox,"May 10, 1995",ALLIANCE,"Nagasaki, Japan","Nagasaki, Japan"
Kyoji Horiguchi,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990",American Top Team,"Takasaki, Gunma, Japan","Coconut Creek, Florida"
Jeremy Horn,"6' 1""",185 lbs.,"74""",Orthodox,"Aug 25, 1975",Jeremy Horn's Elite Performance,"Omaha, Nebraska, United States","Sandy, Utah, United States "
Jeff Hougland,"5' 7""",135 lbs.,"68""",Orthodox,"Aug 02, 1978",Combat Sport & Fitness,"Chicago, Illinois, United States","Enumclaw, Washington"
John Howard,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",F A F Gym,"Dorchester, Massachusetts, United States","Boston, Massachusetts"
Carlos Huachin,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996",Pitbull Martial Arts Center,Peru,"Lima, Peru"
Austin Hubbard,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991",Elevation Fight Team,"Illinois, United States","Denver, Colorado"
Roger Huerta,"5' 9""",155 lbs.,"70""",Orthodox,"May 20, 1983",Tiger Muay Thai,"Los Angeles, California, United States","Phuket, Thailand"
Matt Hughes,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",Finney's HIT Squad,"Hillsboro, Illinois, United States","Hillsboro, Illinois"
Jeff Hughes,"6' 2""",250 lbs.,"77""",Orthodox,"May 17, 1988",Strong Style Fight Team,United States,"Canton, Ohio"
Mark Hunt,"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974",American Top Team,"South Auckland, New Zealand","Sydney, Australia"
Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",Serra Jiu-Jitsu,United States,"Long Island, New York"
Khadis Ibragimov,"6' 3""",205 lbs.,"78""",Orthodox,"May 21, 1995",Sambo-Piter,"Dagestan, Russia","St. Petersburg, Russia"
Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",Xtreme Couture,United States,"Haleiwa, Hawaii"
Zelim Imadaev,"6' 0""",170 lbs.,"76""",Orthodox,"Jan 25, 1995",,Russia,"Moscow, Russia"
Nassourdine Imavov,"6' 3""",185 lbs.,"75""",Orthodox,"Mar 01, 1995",MMA Factory,"Dagestan, Russia","Salon-de-Provence, France"
Naoki Inoue,"5' 9""",125 lbs.,"71""",Orthodox,"Jun 14, 1997",Longo And Weidman MMA,"Toyohashi, Aichi, Japan","New York City, New York"
Mizuki Inoue,"5' 3""",125 lbs.,"65""",Orthodox,"Aug 19, 1994",,"Toyohashi, Aichi, Japan","New York City, New York"
James Irvin,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 12, 1978",Capital City Fighting Alliance,"Huntington Beach, California, United States","Citrus Heights, California"
Teruto Ishihara,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991",Team Alpha Male Japan,"Oshima, Kagoshima, Japan","Kadoma, Osaka, Japan"
Damir Ismagulov,"5' 9""",155 lbs.,"70""",Orthodox,"Feb 03, 1991",Tiger Muay Thai,"Orenburgskaya oblast, Russia","Orenburg, Russia"
Leandro Issa,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 19, 1983",Evolve MMA,"Ubatuba, Sao Paulo, Brazil","Ubatuba, Sao Paulo, Brazil"
Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986",American Kickboxing Academy,Bulgaria,"Sofia, Bulgaria"
Anthony Ivy,"6' 2""",185 lbs.,"74""",Orthodox,"Jan 23, 1990",Brazilian Top Team Texas,"San Antonio, Texas","San Antonio, Texas"
Yves Jabouin,"5' 7""",135 lbs.,"68""",Orthodox,"May 30, 1979",Tristar Gym,"Port-au-Prince, Haiti","Montreal, Quebec"
Quinton Jackson,"6' 1""",205 lbs.,"73""",Orthodox,"Jun 20, 1978",Wolfslair Academy,"Memphis, Tennessee, United States","Irvine, California"
Damon Jackson,"5' 11""",145 lbs.,"71""",Switch,"Aug 08, 1988",Fortis MMA,United States,"Dallas, Texas"
Montel Jackson,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992",Pura Vida BJJ/MMA,United States,"Milwaukee, Wisconsin"
Dustin Jacoby,"6' 3""",205 lbs.,"76""",Orthodox,"Apr 04, 1988",Finney's HIT Squad,"Fort Morgan, Colorado, United States","Springfield, Illinois"
Virna Jandiroba,"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988",Academia Fight House,Brazil,"Serrinha, Bahia, Brazil"
Ryan Janes,"6' 3""",185 lbs.,"76""",Orthodox,"Aug 22, 1981",Zugec Ultimate Martial Arts,Canada,"Victoria, British Columbia"
Keith Jardine,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975",Jackson Wink MMA,"Butte, Montana, United States","Albuquerque, New Mexico"
Rony Jason,"5' 7""",145 lbs.,"73""",Orthodox,"Mar 21, 1984",SAS Team,"Quixada, Ceara, Brazil","Fortaleza, Ceara, Brazil"
Justin Jaynes,"5' 7""",145 lbs.,"68""",Orthodox,"Aug 10, 1989",Xtreme Couture,"Richmond, Michigan, United States","Las Vegas, Nevada"
Joanna Jedrzejczyk,"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",American Top Team,"Olsztyn, Poland","Coconut Creek, Florida"
Ryan Jensen,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",Jackson Wink MMA,"Omaha, Nebraska, United States","Albuquerque, New Mexico"
Ryan Jimmo,"6' 1""",205 lbs.,"73""",Orthodox,"Nov 27, 1981",Hayabusa Training Centre,Canada,Canada
Sung Bin Jo,"6' 0""",145 lbs.,"72""",Orthodox,"Jul 17, 1992",Team Stun Gun,"Seoul, South Korea","Seoul, South Korea"
Carls John De Tomas,"5' 5""",125 lbs.,"71""",Southpaw,"Aug 28, 1996",De Tomas Muay Thai and MMA Training Center,Philippines,"Quezon City, Philippines"
Brett Johns,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992",Chris Rees Academy,"Swansea, Wales, United Kingdom","Swansea, Wales, United Kingdom"
Miles Johns,"5' 7""",135 lbs.,"66""",Orthodox,"Mar 30, 1994",Fortis MMA,"Newton, Kansas","Dallas, Texas"
Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984",Sanford MMA,"Dublin, Georgia, United States","Boca Raton, Florida"
DaMarques Johnson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 28, 1982",Jeremy Horn's Elite Performance,"West Jordan, Utah, United States","Salt Late City, Utah"
Lavar Johnson,"6' 4""",240 lbs.,"82""",Orthodox,"Jun 11, 1977",Pro Buhawe,"Madera, California, United States","San Jose, California"
Demetrious Johnson,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",AMC Pankration,"Madisonville, Kentucky, United States","Kirkland, Washington"
Michael Johnson,"5' 10""",155 lbs.,"73""",Southpaw,"Jun 04, 1986",Sanford MMA,"St. Louis, Missouri, United States","Boca Raton, Florida"
Kajan Johnson,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",Tristar Gym,"Burns Lake, British Columbia, Canada","Montreal, Quebec"
Timothy Johnson,"6' 3""",265 lbs.,"77""",Southpaw,"Mar 13, 1985",Academy of Combat Arts,"Lamberton, Minnesota, United States","Las Vegas, Nevada"
Jordan Johnson,"6' 2""",205 lbs.,"79""",Orthodox,"Nov 18, 1988",MMA Lab,"Richmond, Virginia","Gilbert, Arizona"
Liana Jojua,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 22, 1995",,Georgia,"Tibilisi, Georgia"
Daniel Jolly,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 03, 1984",Rubicon Fight Sport,"Fairfield, California, United States","Lockhart, Texas"
Jon Jones,"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987",Jackson Wink MMA,"Rochester, New York, United States","Albuquerque, New Mexico"
Trevin Jones,"5' 7""",140 lbs.,"70""",Southpaw,"Aug 04, 1990",Vida BJJ,New Orleans,Guam
Jocelyn Jones-Lybarger,"5' 7""",115 lbs.,"64""",Orthodox,"Oct 04, 1985",MMA Lab,United States,"Phoenix, Arizona"
Shawn Jordan,"6' 0""",260 lbs.,"75""",Southpaw,"Oct 21, 1984",Jackson Wink MMA,"El Paso, Texas, United States","Albuquerque, New Mexico"
Ivan Jorge,"5' 9""",155 lbs.,"73""",Orthodox,"Nov 07, 1980",Ataque Duplo,"Florianopolis, Santa Catarina, Brazil","Florianopolis, Santa Catarina, Brazil"
Scott Jorgensen,"5' 5""",135 lbs.,"66""",Orthodox,"Sep 17, 1982",Combat Fitness,"Payson, Utah, United States","Boise, Idaho"
Krzysztof Jotko,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",Planet Eater,"Elbląg, Poland","Orneta, Poland"
Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",Legends MMA,United States,"Hollywood, California"
Charles Jourdain,"5' 9""",145 lbs.,"69""",Switch,"Nov 27, 1995",Academie Pro Star MMA,"Montreal, Quebec, Canada","Beloeil, Quebec"
Luke Jumeau,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 12, 1988",Phuket Top Team,New Zealand,"Hamilton, Waikato, New Zealand"
Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",Korean Zombie MMA,"Seoul, South Korea","Pohang, South Korea"
Da-Un Jung,"6' 4""",205 lbs.,"78""",Orthodox,"Dec 07, 1993",Korean Top Team,South Korea,"Daegu, South Korea"
Myles Jury,"5' 10""",145 lbs.,"73""",Orthodox,"Oct 31, 1988",Alliance MMA,"Hazel Park, Michigan, United States","San Diego, California"
Cristiane Justino,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 09, 1985",Chute Boxe Long Beach,"Curitiba, Parana, Brazil","San Diego, California"
Kai Kamaka,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995",,"Ewa Beach, Hawaii","Pearl City, Hawaii"
Martin Kampmann,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",Xtreme Couture,"Aarhus, Denmark","Las Vegas, Nevada"
Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987",Superhuman Gym,India,"Maharashtra, India"
Masanori Kanehara,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982",Reversal Gym Tachikawa ALPHA,"Musashimurayama, Tokyo, Japan","Hachioji, Tokyo, Japan"
Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977",American Top Team,"Saint-Pierre, Saint Pierre and Miquelon","Montreal, Quebec"
Kyung Ho Kang,"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987",Busan Team MAD,South Korea,"Busan, South Korea"
Kai Kara-France,"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",City Kickboxing,New Zealand,"Auckland, New Zealand"
